Title,Author,First Publish Year,Subjects
Magnolia Parks,Jessa Hastings,2021,"Fiction, romance, general, Fiction, general"
Dork Diaries 10 ! (English) - PUPPY LOVE,Unknown,2016,"Humorous stories, Middle schools, Diary fiction, Juvenile fiction, Girls, Fiction, Children's stories, Puppies, Children's fiction, Dogs, fiction"
Slow heat in heaven,Sandra Brown,1988,"Fiction, romance, suspense, Man-woman relationships, fiction, Louisiana, fiction, Large type books, Families, Fiction, Lumbermen, Fiction, general"
The Postman,David Brin,1985,"Fiction, Science Fiction, Survival, Nuclear warfare, Long Now Manual for Civilization, Fiction, general, Fiction, science fiction, general"
Silence,Shūsaku Endō,1980,"Fiction, Christians, History, Missionaries in Fiction, Civilization, Missionaries, Japanese literature, Persecution, Missionaries, fiction, Japan, fiction, Fiction, historical, general, Fiction, christian, historical"
Double Dork Diaries 2                            Dork Diaries eBook,Rachel Renée Russell,2013,"Children's stories, American, Schools, Nikki Maxwell (Fictitious character), Juvenile fiction, Popularity, American Diary fiction, Children's fiction, Popularity, fiction, Schools, fiction, Diaries, fiction"
A little house of their own,Celia Wilkins,2005,"Courtship, Family, Farm life, Fiction, History, Juvenile fiction, Teachers, Ingalls, Caroline Lake Quiner, Children's fiction, Teachers, fiction, Farm life, fiction, Wisconsin, fiction"
Pandora,Anne Rice,1998,"Vampires, Fiction, History, Horror fiction, Man-woman relationship, Large type books, Fiction, horror, Vampires, fiction, Fiction, occult & supernatural"
His Dark Bond,Anne Marsh,2012,"Romance, Paranormal fiction, Fiction, Angels, Paranormal, Fiction, romance, paranormal, general"
Pete the cat. Meet Pete,James Dean,2017,"Animals, Cats, Friendship, Board books, Fiction, Children's fiction, Cats, fiction"
On a pale horse,Piers Anthony,1983,"Fiction, Fantasy, American Fantasy fiction, Fiction, fantasy, general, Magic, Death"
A Gathering of Shadows,"V. E. Schwab, Julieta María Gorlero",2016,"Fantasy, Contests, Magic, Fiction, Fiction, fantasy, general, Fiction, science fiction, general, FICTION / Fantasy / Historical, FICTION / Fantasy / General, nyt:hardcover-fiction=2016-03-13, New York Times bestseller"
"My father, Sun-Sun Johnson",C. Everard Palmer,1974,"Children's fiction, Short stories, Fathers, fiction"
Farewell to Love,Jessica Steele,1989,"Fiction, Romance, Contemporary, Married people, fiction"""
"Curious, if true",Elizabeth Cleghorn Gaskell,1995,"Fiction, mystery & detective, general, Fiction, general"
The People of the Black Circle,Robert E. Howard,1977,"Fiction, action & adventure, Fiction, fantasy, general"
A stable for nightmares,"Joseph Sheridan Le Fanu, Young, Charles L. Sir",1896,"English Fantasy fiction, American Fantasy fiction"
The Final Girl Support Group,Grady Hendrix,2021,"nyt:hardcover-fiction=2021-08-01, New York Times bestseller, Fiction, suspense, Fiction, psychological, Fiction, horror, Fiction, thrillers, suspense"
Double Dork Diaries,Rachel Renée Russell,2011,"Schools, Juvenile fiction, Popularity, American Diary fiction, Children's stories, American, Children's fiction, Diaries, fiction, Schools, juvenile literature, Popularity, fiction"
Reunion,Fred Uhlman,1971,"Fiction, Fiction in English, French language, French language books, French language edition, Holocaust, Jewish (1939-1945), Readers, Fiction, historical, Friendship, fiction, Germany, fiction, Jews, fiction, Fiction, historical, general, Fiction, general, Jews, Nazis"
"The Private Memoirs and Confessions of A Justified Sinner (With A Detail of Curious Traditionary Facts, And Other Evidence, By The Editor)","James Hogg, Ian Rankin, Wain, John.",1824,"fiction, Scottish fiction, Murderers, Classics, Psychological, Criminals, fiction, Scotland, fiction, Fiction, psychological, History, Murderers in fiction, Scotland in fiction, Fiction, general, Edinburgh (scotland), fiction, Calvinists, Psychological fiction, Specimens, Brothers, Dominance (Psychology), Gothic fiction (Literary genre), Good and evil, Mental illness, Moral and ethical aspects, Social life and customs, Crime, fiction, English literature, Fiction, historical, Scotland"
Dork Diaries OMG                            Dork Diaries eBook,Rachel Renée Russell,2009,"Self-perception in adolescence, Problems, exercises, Diaries, Girls, Journalism, English language, Fiction, Authorship, Creative writing, Composition and exercises, Juvenile literature, Stationery and giftbooks"
Dork Diaries,Rachel Renée Russell,2017,"dork, crush, Schools, Middle schools, Infatuation, Diaries, Fiction, love, Juvenile fiction, Children's fiction, Diaries, fiction"
"Fly High, Fly Guy! (Fly Guy)",Tedd Arnold,2008,"Fiction, Flies, Automobile travel, Juvenile fiction, Humorous Stories, Animals, Social Themes, Pets, Insects, Spiders, Friendship, JUVENILE FICTION, Children's fiction, Automobile travel, fiction, Insects, fiction"
The Key to Midnight,Dean Koontz,1979,"Brainwashing, Detective and mystery stories, Fiction, Accessible book, Protected DAISY, In library, NOVELAS ESTADOUNIDENSES, Fiction, horror, Japan, fiction, Fiction, mystery & detective, general, Fiction, psychological, Rand, joanna (fictitious character), fiction, Fiction, thrillers, suspense, Missing persons, fiction, Chicago (ill.), fiction"
Tarzan of the Apes Tale #1 the Man-Child,"Edgar Rice Burroughs, Shannon Eric Denton, Amy Sterling Casil, Fred J Arting",2002,"Feral children, Fiction, Apes, Children's fiction, Fear, fiction, Apes, fiction, Imposters and imposture, Impostors and imposture, Travel, British, Tarzan (Fictitious character), Fiction, fantasy, general, Fiction, action & adventure, Tarzan (fictitious character), fiction, American fiction (fictional works by one author)"
Dark Magic,Christine Feehan,2000,"Fiction, Paranormal Romance, collectionID:FHDarkromance, Vampires, Magicians, large print, Large type books, Cuentos de amor, Ficción, Vampiros, Novela, [series:CF_Carpathians], Dark Carpathians series"
Hound of the Baskervilles,Arthur Conan Doyle,1902,"British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional, England, fiction, Holmes, sherlock (fictitious character), fiction"
Cousin Henry,Anthony Trollope,2008,"Fiction, general, British and irish fiction (fictional works by one author)"
Kidagaa kimemwozea,Ken Walibora,2012,Swahili fiction
Alice in Wonderland in Five Acts,Lewis Carroll,1897,Children's fiction
The Forty Rules of Love,Elif Shafak,2010,"Fiction, Literature"
The Sins of Severac Bablon,Sax Rohmer,1967,"Fiction, general"
The Lust of Hate,Guy Boothby,1898,"Fiction, general"
Heart of Darkness,Joseph Conrad,1899,"Fiction, general"
Madlenka,Peter Sís,2000,"Geography, Teeth, Fiction, City and town life, Teeth, fiction, Children's fiction, New york (n.y.), fiction"
Spy camp,Stuart Gibbs,2007,"Survival, Spies, Camps, Fiction, Juvenile fiction，kids friendly, Children's fiction, Spies, fiction, Survival, fiction, Camps, fiction, Social Themes, Law & Crime, Action & Adventure, JUVENILE FICTION, New Experience, Survival skills, Spy stories"
The Merchant of Death (Pendragon #1),D. J. MacHale,2002,"Imaginary places, Fantasy fiction, Juvenile fiction, Fantasy, Mystery and detective stories, Time travel, Adventure and adventurers, Life on other planets, Space and time, Fiction, Mystery fiction, Adventure fiction, young adult, space travel, science fiction, Adventure, Children's fiction, Boys, fiction, Adventure and adventurers, fiction, Animals, fiction"
My happy life,Rose Lagercrantz,2013,"Widowers, Juvenile fiction, Fiction, Fathers and daughters, Sadness, Household Moving, Schools, Best friends, Friendship, Happiness, Children's fiction, Schools, fiction, Friendship, fiction"
国境の南、太陽の西,村上春樹,1992,"Fiction, romance, contemporary, Japan, fiction, Near and far eastern fiction (fictional works by one author), Language and languages, Japan -- Fiction., Man-woman relationships, Fiction, New York Times reviewed, Fiction, romance, general"
In the Hand of the Goddess,Tamora Pierce,1984,"Alanna (Fictitious character : Pierce), Song of the Lioness, Tortall, Knights and knighthood, Fiction, Women heroes, Juvenile fiction, Sex role, Fantasy, Children's fiction, Fantasy fiction, Wizards, Princes, Knights and knighthood, fiction, Princes, fiction, Wizards, fiction, Gods, fiction"
Little Cloud,Eric Carle,1996,"Big books, Clouds, Fiction, Juvenile fiction, Picture Books, Juvenile Literature, Children's fiction, Imagination, fiction, Weather, fiction, Toy and movable books, Sheep, fiction, JUVENILE FICTION / Classics, JUVENILE FICTION / Concepts / Size & Shape, JUVENILE FICTION / Nature & the Natural World / Weather, Nature, fiction, Drawing, technique, Livres illustrés pour enfants, Nuages"
Risk,Dick Francis,1977,"Horse racing in fiction, Horse racing, Fiction, Kidnapping, Large type books, Cheltenham Gold Cup, Fraud investigation, Accountants, Suspense fiction, Fiction, mystery & detective, traditional, Britten, roland (fictitious character), fiction, England, fiction, Fiction in English, Fiction, thrillers, Fiction, suspense, Fiction, thrillers, general, Detective and mystery stories, Translations into Russian"
The wallet of Kai Lung,Ernest Bramah,1900,"Fiction, Kai Lung (Fictitious character), Fiction, mystery & detective, general, English Short stories, Fiction, general, Kai lung (fictitious character), fiction, Fiction, fantasy, general"
Haunted,Chuck Palahniuk,2005,"Torture, Artists, Social isolation, Prisoners, Artists in fiction, Torture in fiction, Torture victims, Fiction, Prisoners in fiction, Horror stories, Torture victims in fiction, Social isolation in fiction, Horror tales, Artists, fiction, Fiction, horror, Artistes, Romans, nouvelles, Isolement social"
The School for Good and Evil #3,Soman Chainani,2015,"Fantasy, Schools, Best friends, Juvenile fiction, Good and evil, Friendship, Fiction, Children's fiction, Friendship, fiction, Schools, fiction, Good and evil, fiction, Fantasy fiction, nyt:series-books=2015-08-09, New York Times bestseller"
Dangerous Lies,Becca Fitzpatrick,2015,"Witnesses, Young adult fiction, Love, Witnesses protection, Juvenile fiction, High school students, Fiction, Romance, Protection, Witness protection programs, Children's fiction, Mystery and detective stories, Love, fiction, Nebraska, fiction"
Trouble will find you,Joan M. Lexau,1994,"Criminals, Dogs, Fiction, Juvenile fiction, Reading Level-Grade 3, Reading Level-Grade 5, Reading Level-Grade 4, Children's fiction, Dogs, fiction, Criminals, fiction"
All Roads Lead to Calvary,Jerome Klapka Jerome,1919,"British and irish fiction (fictional works by one author), Fiction, humorous, general, Large type books, Classic Literature, Fiction"
The Three Theban Plays,"Sophocles, Robert Fagles",1956,"Drama, Antigone (Greek mythology), Translations into English, Oedipus (Greek mythology), open_syllabus_project, Drama (dramatic works by one author), FICTION, Classics, Continental european drama (dramatic works by one author)"
Escaping Peril (Wings of Fire #8),Tui T. Sutherland,2016,"Juvenile Fantasy fiction, Juvenile fiction, Quests (Expeditions), Dragons, Prophecies, Imaginary wars and battles, Good and evil, Friendship, Identity (Psychology), Children's fiction, Dragons, fiction, Friendship, fiction, Identity, fiction, Adventure and adventurers, fiction, Adventure and adventurers, Fantasy, Adventure stories, Fiction, Identity"
Death in the Stocks,Georgette Heyer,1935,"1930s, Contemporary, Fiction, Police, Police in fiction, Suspense, Inspector Hannasyde (Fictitious character), Hannasyde, inspector (fictitious character), fiction, Fiction, mystery & detective, general, England, fiction, Fiction, mystery & detective, police procedural"
La guerra del fin del mundo,Mario Vargas Llosa,1981,"History, Fiction, Canudos Campaign (Brazil : 1893-1897) fast (OCoLC)fst01352226, Fiction, historical, Brazil, fiction, Fiction (fictional works by one author), Fiction, historical, general, Spanish language books, Historia, Novela"
The Curse of Camp Cold Lake,Robert Lawrence Stine,1994,"Horror stories, Juvenile fiction, Camps, Ghosts, Fiction, Ghost stories, Horror tales, Horror fiction, Mermaids, Mermaids in fiction, collectionID:goosebumps1, Children's fiction, series:Goosebumps"
Behind her eyes,Sarah Pinborough,2017,"English fiction, Fiction, Married people, Secretaries, Marital conflict, Secrecy, nyt:hardcover-fiction=2017-02-19, New York Times bestseller, Fiction, psychological, Fiction, thrillers, general"
Three Dark Crowns,Kendare Blake,2016,"Magic, Inheritance and succession, Sisters, Juvenile fiction, Contests, Queens, Children's fiction, Magic, fiction, Kings, queens, rulers, etc., fiction, Sisters, fiction, Contests, fiction, Triplets, fiction, nyt:young-adult-hardcover=2016-10-09, New York Times bestseller"
Attack of the Jack-o'-lanterns,Robert Lawrence Stine,1996,"Fiction, Halloween in fiction, Jack-o-lanterns in fiction, Jack-o-lanterns, Horror tales, Halloween, Horror stories, Fear, Juvenile fiction, Halloween, fiction, Children's fiction, collectionID:goosebumps1, Practical jokes, Revenge, Horror fiction, Ghost stories, series:Goosebumps"
Dizzy angel,Gracy Nma Osifo,1985,Nigerian fiction (English)
One Indian Girl,Chetan Bhagat,2016,"Indian women, Fiction"
Take What You Want,Anne Mather,1975,"Fiction, Romance, Contemporary"
Terms and Conditions,Lauren Asher,2022,"Fiction, romance, general"
The Dream Within,Barbara Cartland,1947,"Fiction, Romance, Historical"
"Ugly Love, Maybe Someday, and Maybe Not",Colleen Hoover,2015,"Fiction, romance, contemporary"
The Romance of Lust,"""Charlie Roberts""",1968,"Fiction, romance, erotic"
From Blood and Ash,Jennifer L. Armentrout,2020,"Fiction, fantasy, general"
The Flawed Marriage,Penny Jordan,1983,"Fiction, Romance, Contemporary"
Hyper Focus,Autum Wind,2023,"Fiction, action & adventure"
Untouched Wife,Rachel Lindsay,1981,"Fiction, Romance, Contemporary"
Love is Eternal,Yvonne Whittal,1979,"Fiction, Romance, Contemporary"
Summer of the Weeping Rain,Yvonne Whittal,1981,"Fiction, Romance, Contemporary"
The Prince's Virgin Wife,Lucy Monroe,2006,"Fiction, Romance, Contemporary"
Wake the Sleeping Tiger,Margaret Way,1978,"Fiction, Romance, Contemporary"
The Crisscross Shadow,Franklin W. Dixon,1953,"Fiction, Juvenile Fiction, Mystery, Mystery and detective stories, Children's fiction, Hardy boys (fictitious characters), fiction, series:HardyBoys, collectionID:HBMS1"
The Unwanteds (The Unwanteds #1),Lisa McMann,2011,"Creative ability, Magic, Brothers, Fantasy, Twins, Fiction, Juvenile fiction, Children's fiction, Fantasy fiction, Magic, fiction, Twins, fiction, Brothers and sisters, fiction, Supernatural, Demonology, Vampires, Horror stories, Short stories, JUVENILE FICTION / Lifestyles / City & Town Life, JUVENILE FICTION / Fantasy & Magic, JUVENILE FICTION / Social Issues / New Experience, nyt:paperback-books=2012-09-30, New York Times bestseller"
Final Truth,"Pee Wee Gaskins, Donald H. Gaskins, Wilton Earle",1992,"Case studies, Mass murder, Serial murders, Homicide, Infamous Crimes And Criminals, True Crime / Murder, Fiction - Psychological Suspense, Psychological, Biography/Autobiography, Murder - General, Murder, Rape, Gaskins, Pee Wee, South Carolina, 1935-1991, Gaskins, Pee Wee,"
The Maidens,"Alex Michaelides, Laura Martín de Dios;, Laura Manero Jiménez",2021,"College teachers, fiction, Psychotherapists, fiction, Fiction, psychological, Fiction, thrillers, general, nyt:combined-print-and-e-book-fiction=2021-07-04, New York Times bestseller, English literature"
White Night,Jim Butcher,2007,"Magicians, Brothers, Fantasy fiction, Harry Dresden (Fictitious character), Wizards, Crimes against, Fiction, Fantasy, Vampires, Large type books, Chicago (ill.), fiction, Private investigators, fiction, Fiction, fantasy, general"
The Berenstain Bears and the great ant attack,"Stan Berenstain, Jan Berenstain",2000,"Fiction, Bears, Ants, Juvenile fiction, Berenstain Bears (Fictitious characters)"
"After (After Series, Book 1)",Anna Todd,2014,"Man-woman relationships, Contemporary Women, Contemporary, FICTION, Romance, Fiction, romance, contemporary, Fiction, women, FICTION / Romance / Contemporary, FICTION / Contemporary Women, nyt:combined-print-and-e-book-fiction=2019-04-28, New York Times bestseller"
The Fifth Elephant,Terry Pratchett,1999,"Discworld (Imaginary place), Fiction, Literature, Samuel Vimes (Fictitious character), Large type books, Fiction, fantasy, general, Carrot (fictitious character : pratchett), fiction, Discworld (imaginary place), fiction, English literature, Fiction, humorous, Fiction, humorous, general, series:Discworld"
Saga,Brian K. Vaughan,2012,"Interracial marriage, Imaginary wars and battles, Military deserters, Parents of exceptional children, Parents of racially mixed children, Ethnicity, Comic books, strips, Comics & graphic novels, science fiction, nyt:paperback-graphic-books=2012-11-04, New York Times bestseller"
The Vampire Diaries,Lisa Jane Smith,2009,"Children's Books -- Literature -- Popular Culture, Children's Books -- Literature -- Science Fiction, Fantasy, Mystery & Horror -- Science Fiction, Fantasy, & Magic, Children's Books -- Literature -- Science Fiction, Fantasy, Mystery & Horror -- Spine-Chilling Horror, Teens -- Literature & Fiction -- Love & Romance, Teens -- Science Fiction & Fantasy -- Fantasy, Teens -- Series, Fiction, horror, Fiction, romance, fantasy, Vampires, fiction"
Home Before Dark,Riley Sager,2020,"nyt:combined-print-and-e-book-fiction=2020-07-19, New York Times bestseller, Fiction, thrillers, general, Fiction, psychological, Fiction, ghost, Authors, fiction, Vermont, fiction, Homecoming, Fiction, Haunted houses, Inheritance and succession, Ghost stories, Secrecy, Murder, Authors, Large type books"
Dawn,"Erin Hunter, Dave Stevenson",2005,"Cats, Fantasy, Fantasy Fiction, Feral Cats, Fiction, Juvenile Fiction, Er tong wen xue, Chang pian xiao shuo, Children's fiction, Cats, fiction, Voyages and travels, fiction, Prophecies, Voyages and travels, series:warriors_the_new_prophecy"
A Man Lay Dead,Ngaio Marsh,1934,"Country-house Mystery, Roderick Alleyn (Fictitious character), Fiction, Police, Large type books, Fiction, mystery & detective, general, Alleyn, roderick (fictitious character), fiction, Fiction, mystery & detective, police procedural, England, fiction"
In Secret,Robert W. Chambers,1919,"World war, 1914-1918, fiction, Fiction, historical, general, Classic Literature, Fiction, Thriller, World War, 1914-1918"
Shroud for a Nightingale,P. D. James,1971,"Adam Dalgliesh (Fictitious character), Detective and mystery stories, Fiction, Fiction in English, Investigation, Murder, Mystery, Nurses, Police, Fiction, mystery & detective, traditional, Dalgliesh, adam (fictitious character), fiction, England, fiction, London (england), fiction, Large type books, Fiction, general, Fiction, mystery & detective, general, English literature, Dalgliesh, Adam (Fictitious character) -- Fiction, Dalgliesh, Adam (Fictitious character), Police -- England -- Fiction, Policía -- Inglaterra -- Novela, Novela policíaca, England"
Twisted,Robert Lawrence Stine,1987,"Horror tales, Children's fiction, Horror stories, Adventure and adventurers, fiction"
City of Lost Souls The Mortal Instruments Book 5,Cassandra Clare,2012,"Magic, Vampires, JUVENILE FICTION / Lifestyles / City & Town Life, JUVENILE FICTION / Fantasy & Magic, Fiction, Supernatural, Horror stories, JUVENILE FICTION / Social Issues / New Experience, Demonology, Social Issues, JUVENILE FICTION, Betrayal, City & Town Life, Fantasy & Magic, Revenge, New Experience, Lifestyles, The Mortal Instruments Series, Paranormal fiction, Horror tales, Children's fiction, Supernatural, fiction, Demonology, fiction, Vampires, fiction, New york (n.y.), fiction, Magic, fiction, Good and evil, Soul, Damned, Démonologie, Romans, nouvelles, etc. pour la jeunesse, Âme, Damnés, Trahison (Morale), Vengeance, Fantastischer Roman, Amerikanisches Englisch, Horror fiction"
"Tales of my landlord, Second series. The Heart of Mid-Lothian",Sir Walter Scott,1800,"Fiction, Fiction in English, Great Britain in fiction, History, Scottish Authors, Scottish fiction, Covenanters, Covenanters in fiction, Bothwell Bridge, Battle of, Scotland, 1679 in fiction, Jacobites, Bothwell Bridge, Battle of, Scotland, 1679, Jacobites in fiction, Convenanters in fiction, Convenanters, Porteous Riots, 1736, Trials (Murder), Women travelers, Pardon, Scots, Sisters, Women prisoners, Judicial error, Specimens, Translations into Russian, English literature, Yellowback books, Porteus Riots, 1736, British and irish fiction (fictional works by one author), Scotland, fiction, Fiction, historical, Fiction, historical, general"
"Waverley; or, 'Tis sixty years since ...",Sir Walter Scott,1800,"Jacobite Rebellion, 1745-1746, Fiction, Jacobite rebellion, 1745-1746, fiction, Fiction, historical, general, Scotland, fiction, History, Translations into Russian, British and irish fiction (fictional works by one author), Fiction, historical, Rébellion des Jacobites, 1745-1746, Romans, nouvelles, Jacobite rebellion, 1745-1746--fiction, Pr5322 .w4 2008, 823/.7, Historiography, History and criticism, Literature and the rebellion, Scotland in literature, Scottish Historical fiction, Waverley, In literature, Scott, walter, sir, 1771-1832, Historical fiction, history and criticism, Scotland, Jacobite Rebellion, 1745-1746 in fiction, Scotland in fiction, Fiction, general, Scottish literature, history and criticism, Juvenile fiction"
Whispers,Dean Koontz,1980,"OverDrive, Fiction, Suspense, Horror stories, Horror tales, Protected DAISY, Accessible book, In library, Fiction, horror, Fiction, psychological"
"The Norsemen in the West, or, America before Columbus","Robert Michael Ballantyne, Pradip Das",1872,"Fiction, action & adventure, Fiction, historical, general, United states, fiction, Indians of north america, fiction, West (u.s.), fiction, Adventure stories, Indians of North America, Juvenile fiction, Military art and science, Colonists, Fur traders, Discovery and exploration, Norse"
The Shadow of the Rope,E. W. Hornung,1902,"Fiction, mystery & detective, general"
Red Queen,Victoria Aveyard,2015,"Love & Romance, Ability, Resistance to Government, Juvenile fiction, Ungdomslitteratur, Cloth or Hardcover, Fantasy & Magic, Fiction, Royalty (kings queens princes princesses knights, etc.), Fantasy, Blood, Science fiction, Princesses, Children's Books/All Ages, Teenage girls, YOUNG ADULT FICTION, Romance, Royalty, Children's fiction, Fantasy fiction, Princesses, fiction"
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,Gabriel García Márquez,1972,"Translations into English, Spanish fiction, Spanish language books, LITERATURA COLOMBIANA, NOVELA COLOMBIANA, GARCÍA MÁRQUEZ, GABRIEL(1927-2014), García Márquez, Gabriel, 1928, Fiction, general, Latin america, fiction, Garcia marquez, gabriel, 1928-2014, Fiction (fictional works by one author), Continental european fiction (fictional works by one author), Fiction, Electronic government information, Technology and state"
"Pale horse, pale rider",Katherine Anne Porter,1939,"Social life and customs, Manners and customs, Fiction, American fiction (fictional works by one author), American Short stories"
No Thoroughfare,"Charles Dickens, Wilkie Collin, Wilkie Collins, Damilys Yanez, Madame Madame Judith, Gabriel Zarraga, Madame Judith, Gregorio Solera Casero, Wilkie Collins",1860,"Fiction, general, British and irish fiction (fictional works by one author), Manners and customs, Drama, Social life and customs, Fiction, Cultural Characteristics, Mœurs et coutumes"
The Dolly dialogues,Anthony Hope,1890,"Drama (dramatic works by one author), Women, Fiction, Social life and customs, Manners and customs, Fiction (English), Fiction, short stories (single author), Classic Literature, Fiction, general"
The Vampire Diaries,Lisa Jane Smith,2009,"Young adult fiction, Vampires, Damon (Fictitious character), Elena (Fictitious character), Fiction, Triangles (Interpersonal relations), Stefan (Fictitious character), Horror tales, Brothers, Children's fiction, Vampires, fiction, Horror stories"
13 little blue envelopes,Maureen Johnson,2005,"Fiction, Letters, Aunts, Grief, Voyages and travels, Artists, Juvenile Fiction, Life change events, YOUNG ADULT FICTION / Family, Abraham Lincoln Award nominee book, 2008, Self-actualization (Psychology) in adolescence, YOUNG ADULT FICTION / Social Themes, YOUNG ADULT FICTION / Girls & Women, Grief in adolescence, YOUNG ADULT FICTION, Family, Girls & Women, Social Themes, Children's fiction, Voyages and travels, fiction, Letters, fiction, Family, fiction, Grief, fiction, Europe, fiction, Artists, fiction, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Young adult fiction, travel & transportation, general, Young adult fiction, social themes, friendship, Young adult fiction, social themes, new experience, Voyages, Romans, nouvelles, Courrier, Tantes, Artistes, Chagrin, Romans, Correspondance, Tristesse"
Fancy Nancy,Jane O'Connor,2010,"Fiction, Juvenile fiction, Novela juvenil, Manners and customs, Individuality, Clothing and dress, Family life, Costume and dress, Family, Spanish language materials, Indumentaria, Usos y costumbres, Familia, Individualidad, Parties, Birthdays, Butterflies, Poetry, Families, Schools, Novela, Humorous stories, Family - General, Girls & Women, Juvenile Fiction / Girls & Women, Children's Books/Ages 4-8 Fiction, Children: Grades 1-2, Words, Concepts, Humorous fiction, Family life, fiction, Manners and customs, fiction, Children's fiction, Individuality, fiction, Poetry, fiction, Schools, fiction, nyt:picture-books=2010-03-21, New York Times bestseller, Clothing and dress, fiction"
Los de abajo,Mariano Azuela,1927,"History, Fiction, Spanish language, Readers, Chrestomathies and readers, Mexico -- History -- Revolution, 1910-1920 -- Fiction., Historia, Ficción, Spanish language materials, Fiction, general, Mexico, fiction, Fiction, historical, general, Mexico, history, revolution, 1910-1920, fiction, Fiction (fictional works by one author), Fiction, war & military, Revolution (Mexico : 1910-1920) fast (OCoLC)fst01354542, Translations into English, Pq7297.a9 l613 2008, 863/.62, Novela mexicana, Novela"
"Mog, the forgetful cat",Judith Kerr,1970,"Children's stories, Gaelic, Children's stories, Irish, Juvenile fiction, Cats, Pictorial works, Cats, legends and stories, Cats, fiction, Children's fiction, Mog (Fictitious character), Fiction, Children's literature, Gaelic, Pets"
Blueback,Tim Winton,1958,"Fiction, Fishers, Diving, Fishes, Fables"
O meu amigo pintor,Lygia Bojunga Nunes,1987,"Fiction, Brazil, Suicide, Friendship, Artists"
As Sure as the Dawn,"Francine Rivers, Francine Rivers",1995,"Historical Fiction, Fiction, religious, Church history, Germanic peoples, Gladiators, History, Large type books"
Sweet addiction,Maya Banks,2012,"First loves, Triangles (Interpersonal relations), Fiction, sexual dominance, submission, erotica, Fiction, erotica, general"
The 5th horseman,"James Patterson, Maxine Paetro",2006,"Fiction, Medical personnel, Women detectives, Malpractice, Women in the professions, Female friendship, Medical fiction, Hospitals, Detective and mystery stories, Women's Murder Club (Imaginary organization), Accessible book, Protected DAISY, OverDrive, Policewomen, fiction, San francisco (calif.), fiction, Fiction, medical, Fiction, mystery & detective, women sleuths, Women's murder club (imaginary organization), fiction, Lindsay Boxer (Fictitious character), Policewomen, collectionid:wmc"
Winnie the witch,Valerie Thomas,1987,"Color, Juvenile fiction, Children's stories, English, Winnie the Witch (Fictitious character), Fiction, Cats, Witches, Children's plays, Juvenile drama, Pictorial works, Drama texts: from c 1900 -, English literature: drama texts, General, Drama, Plays / Drama, Plays, Drama / General, Children's fiction, Witchcraft, fiction, Witches, fiction, Cats, fiction, Color, fiction, Picture books, Hexe, Kind, Katze, Encyclopedias and dictionaries"
Pride and Prejudice and Zombies,"Seth Grahame-Smith, Seth Grahame-Smith Jane Austen, Katherine Kellgren",2009,"Parodies, imitations, nyt:e-book_fiction=2011-07-16, Fitzwilliam Darcy (Fictitious character), Darcy, Fitzwilliam (Fictitious character) $v Fiction, Social classes, Bennet, Elizabeth (Fictitious character) $v Fiction, Open Library Staff Picks, New York Times bestseller, Zombies, Sisters, Young women, Fiction, Elizabeth Bennet (Fictitious character), Families, Courtship, Social life and customs, Parodies, Fitzwilliam Darcy (Fictional character), Manners and customs, Elizabeth Bennet (Fictional character), Jóvenes (Mujeres), Hermanas, Novela, Cuentos populares de terror, Ficción, Clases sociales, Humor, form, parodies, Bennet, elizabeth (fictitious character), fiction, Darcy, fitzwilliam (fictitious character), fiction, Fiction, horror, Fiction, mashups, Parodies, pastiches, Austen, jane , 1775-1817, Bennet, elizabeth, Darcy, fitzwilliam, Bennet, elizabeth (fictitious character), Bennet, elizabeth (fictitious character)--fiction, Darcy, fitzwilliam (fictitious character), Darcy, fitzwilliam (fictitious character)--fiction, Zombies--fiction, Young women--england--fiction, Social classes--england--fiction, Families--england--fiction, Sisters--fiction, Courtship--england--fiction, Ps3607.r33848 p75 2009, 813/.6, zombis, Cortejo amoroso, Clases sociales en la literatura, Modales y costumbres, Orgullo, Inglaterra, prejuicios"
The Magic Of The Lost Temple,Sudha Murty,2015,"Country life, Juvenile fiction, English literature"
Goosebumps Collection 14,R. L. Stine,1999,"Children's fiction, Ghost stories, Horror stories"
The Girl with the Dragon Tattoo,Stieg Larsson,2008,"Journalists, Fiction, Missing persons, Investigation, Hackers"
Five Nights at Freddy's Character Encyclopedia (an AFK Book) (Media Tie-In),Scott Cawthon,2023,"Encyclopedias, Games, Computer games, Fiction, horror"
The hating game,Sally Thorne,2016,"Publishers and publishing, Man-woman relationships, Competition (Psychology), Fiction, Fiction, romance, contemporary, Man-woman relationships, fiction, Contemporary Women, Humorous, Romance, Contemporary, Love stories, Romance fiction, Man-woman relationship, Work environment, Interpersonal relations"
Dead Poets Society,N. H. Kleinbaum,1989,"Movies, Motion Pictures, Films, Novelization, Teacher-student relationships, English teachers, Fiction, Fiction, media tie-in"
